youtube_id,status
Cb1Pbk3gQSM,1
YBOKaK8NMwg,1
m0uAIT2O5P0,0
xWTl-VE-7Hs,1
tm6qzug9AS8,1
0_pBgnpW0i0,1
qemi7V4jUjk,0
eyb9SxnHs78,1
eRRG_PNOQmA,0
pp3lD7bR3AM,1
WGBw3zwzqwI,1
LDnFpgimHH4,1
FGksj-4S8uE,1
GO4D8MjC6xU,0
4unk6siO-tI,1
R8MHdj86Ye8,1
tIypF4ODIsM,0
9Vve6PAxRpk,1
KBUVZlTNj_8,1
yehCJ076_zI,0
0I84IUKomh4,0
oKcbalkmH_Y,0
tS5jpR2Je0g,1
zESaWKHX0K8,1
2XV-EU8JlNI,1
Zz1Lypwfwug,1
Il5lC0E0nqM,1
79qvUg0W_iU,1
Fh1ZUliQDFg,0
0wC8Ab5AZeE,1
Hb7zhYzenhY,0
uV5YFJgGPNQ,0
fbc0TS1kJ5w,0
0CzE4lV5qvU,1
iDTzZvuZvAw,1
qsR3MK5i9hQ,1
t1x6i73klIs,1
5xIU6_w6ohg,0
qFsoL6ed_2E,0
6OSyVByPqN8,1
oNKmoTQkte0,1
9V_bukpqoPY,1
w1HXCMxPExc,1
zGFuiIkNKWw,1
NwbHALnNU6A,1
BfgvaB5CK4Y,1
dGFrhVeMm6U,0
lnf-VO8gIGg,1
NDW6AQjK3Q0,0
VHLbq6oeSyw,0
oLPTh_DaPa8,1
mu5MteoR5gI,1
gbu88CKkEzI,1
2A60QcsJtlE,1
sIB8AdUqEqg,1
hkFSMV93VeA,1
Q-BviNtL0PQ,0
T4V4NqEU668,1
Cq_Fag11NRg,0
1qbYMSC8ggg,0
LruyfJJT7qY,1
McBW00qkAlY,1
dzw9h7GnERM,0
SOqIk3Qnh4o,1
FDfUBxkDaWc,0
J_dxV55xix4,1
86p4-80so5k,1
7-YQ7rO_JSg,0
vEfhLwt-8wg,0
P10AWBi4-y8,1
d8kISdWH1eM,0
SCaYTDAGRPk,1
4SWqNoW_zI0,1
LOR4QaROsCw,1
FY48CyB45aw,1
SgeVcJ2fi_g,1
nhKgGtFIqXY,1
gJyibprvYQk,1
S_VuTeA8Fiw,1
Fbt2UUthWg0,1
sqmzvduQ-JY,1
8XTt2uGxh9E,1
R3W7UPdnULs,1
1UioiuQPQp0,1
6NvDZa8hWSs,1
MyKAZbH0ecc,0
ckremwNAupg,0
0JDyXQvCsOM,1
wzSYH0nT6Qk,1
QCzH42efniU,1
Y0p3egpGwAI,1
8zUemCOntvo,0
kaU2A7KyOu4,1
P8nW-n6YPlU,1
-FyVSeNTqJM,0
RWIS7olVbGE,1
NUdeuIj-yKk,1
TAkyNyQBnyo,1
Ots-djawKDU,1
TpGPSRGrL3s,1
Y3kXNEX1Ghs,1
U7NF1bLV-gA,1
wVjMWkCrhkY,1
AO-VFDYy9Rk,1
EZAhe-7CuxE,1
MLUZZtEUiag,1
-oCLDHEt6Rk,0
Id3vqOPHk-4,0
NiMtCyeI_2I,1
GKh4VG9YQ1Q,1
urdf4g-LXk4,1
P_8O-iDvlmA,0
eWL0obbYYOE,1
Kf77U50ZHLk,1
vyQHWSbBCcQ,0
sT-wJhtlMGs,1
cniwN1YsUW8,1
0NSaw4Y2vMQ,1
JELOhEjLgmU,0
TuJc951ZItQ,1
dXBUdCvqpNg,1
MgBCnwI_Hq0,1
cFZWNfXzFLU,1
zhXaZ2a1NcU,1
nCgg5XIxxjY,1
o2xprwwIMXM,1
pgET7AHDk6Q,0
_e917WJMzl4,1
MZ1Fd8AuV6M,1
4JXYGajS87g,1
GTIm2c396cE,1
TZoh3WNN0cM,1
wUJccK4lV74,1
cH8W_cTQQvw,1
HZJ7Y5JooZM,0
VtkM2SPaSJ8,0
vyANzgL4cVI,1
zW7btaVY-Lw,1
wxb_X12HZWQ,1
7hrG-FtbWsw,1
bn31G2SHkVE,1
9OM-V74IaP4,1
71aHFhAhw5o,1
y4O0JlRcEww,1
SR5BfQ4rEqQ,0
C4y_tu3LYlo,1
I3Mg_5wqewU,1
-hQ0B4iKUv8,1
UhdHI9pGEFs,1
vQyK7Re2-Jc,1
EazyotKoBqM,1
vdq609Xci-g,1
0HeFVAgTzK8,1
xhcXLeRqsu0,1
3b83qQTG1D0,1
Z04G6YSuolQ,1
_JuHsTbZKqA,1
nKdSvhCg3VY,0
CsZUGoa3JHc,1
zQydroqGFbA,1
s2A--QuecdU,1
df0j-m8xV58,0
twcbKbLQUuA,1
0668UNhYjXg,1
eswi0L8WNzs,0
AFtqHFfSmns,0
NzbhbetwYFU,1
a2872XpfqKY,1
WB9uluVLP9g,1
untT37sGiyo,1
-DcADWUojB8,1
MCo6TtUkCWc,1
XAWdzV2Bafw,0
IyOu9xCNMK0,1
9GxFab5uMPc,1
fbrN51dPm0I,0
yl0jujA2jLw,1
Jxk0QX01quo,0
4Qrs43i_S50,0
KtekLRYl3q8,1
FuXl-Pmr5kc,0
b6SOulVXeCM,1
iyCGqtHiHhM,1
rxKp6tH2AKU,0
ixFEwb_1ZPM,1
Er54USCnsds,1
SBo_lVxU-io,1
8GPu-oZ4p64,1
77aEuIlxW5k,1
9DnwftHQZho,1
Xda1Qp2bacc,1
x3jT6tQ_gJk,1
LjOibAVPQKk,1
_vxVcxYCyE4,1
LWkbKaDHXbw,1
tskuP_9J2RY,1
npwnO-yPp8g,0
mzZgTmwmkfo,0
ye_E3_ik9gQ,0
QZOCwt_oy-w,0
KYibTLiqYlQ,1
84VVZEw9vBs,1
_mQAT3u8pXA,0
BMavwaPrc4w,1
6DZ7DfrTDds,0
jC9SXNoSz2Q,1
ZtrhzVGMWZc,0
KyR7XB0VBPM,1
Fz9HnTVx52g,1
5rKn9BNhQ0Y,0
iaIYk3DZKwE,0
s-Tm3PCupyE,1
mHJH39bjALk,1
ARiiTfQr8CE,1
EGv9Qpz1obs,1
1-rmOabireo,1
dkcsqI6hZz8,1
aW_qXKNDWtU,1
pAs8uvKNkcU,1
5e1HomFYPtc,1
f0KpM0-h1CI,0
kRZDSvsdZ8A,1
b2MKKJAuijE,0
M2V8jSFKVw0,1
zVx8-px96j4,1
NJmsKhstdgE,1
WhzAk-XzmYQ,1
h0terCPG-xE,1
Bu3n2LEcUbg,0
JMJAl7PfSlk,1
b6xbga06ApQ,1
BGZZ7s7FJlM,1
1wk1El1twDk,1
mDUSjBiHYeY,1
tBDHJCVi7_0,1
jYID_csTvos,1
ZoU7qMRORdk,1
6f24cpQ_Q3k,0
mS5WLkb_Cxk,0
9CzZuCxR65A,1
NzfSLgWkTlY,1
pOgf3IaWlgU,1
Gl4JhBqWim4,1
PtgGWFzIQq0,1
oh4GYHtq2hY,1
Xp_xKQZigM0,1
olxqe0CQ7W0,1
r74QbwaIWFc,1
xcJXT5lc1Bg,1
xTvdOjsJXRY,1
AD5ZPxKC4Ww,1
6rl0rXHWtbQ,1
4c911OBo7Aw,1
BcRXmoGWHtQ,0
1d5LNfJwIBc,1
_8LrZ4NhPmk,1
qRAE0UOMyB8,1
5pQJsYX0sLk,1
f1gNWDY4gUM,0
3wBZ8asszLg,0
dpAoVOU-q60,1
XQdE3ydNvCU,1
le6AAhqa_8U,1
80sCD2p0W1Q,1
-VxPZ5gJGYM,1
4S5jbL1-200,1
eCfvE03ufF8,1
m_KtsgEoK4Q,0
gxEkXiYqCwI,1
Pwv4avomXYo,1
BGDZfC56qEQ,1
bu83p1i0D1A,1
FD3Xh_Qez_Y,1
YEJ566EnNgM,1
8Gu2ouJNmXc,1
3Ojowp4mMHk,1
oHeh8nSghcE,0
R_ywocBuk2c,1
N5QghiVVn4A,1
ti42vZVtgvY,1
36LnnBNcETk,1
8ExIPKUEZ-4,0
wAZPdmo7LVA,0
03NoI9KiZOk,1
Hh-QeqsDXKI,0
lbdeAhpIPhE,1
03njJ9LGyFM,1
lSTkEHpkMf8,1
Zabxs1tMXJ4,1
82IXVFuJllI,1
b3-_iO-BJ7M,1
oUQ9ZKUt2XQ,1
MeXoQrJwHXY,1
In9QzIAgiFE,1
8aQFiCfxz6M,1
KYxUZoMU9Nc,1
DHMF-bVxlkc,1
SG4I8PHp880,0
YBRg2qsJ94Y,1
4ya-OFbWtuM,1
1IZtDOuubT4,1
D8toNFLjKjI,1
SlevfZtVLp4,1
k2pflKJO-Mg,1
Ar-hnj5Zsk4,1
Zml7qQpL8Yo,1
EXS5TiBYESk,0
0jeLfhqqBkI,1
MMuen83l-Sc,1
Edy6YVlGy_A,1
ujH4hnVthhM,0
X-3TvjRKYPI,1
Uv4YAx1nqDM,1
zzHKiJ3H3cU,1
PBQQiOfgnUY,1
qr7oBpkkxIQ,1
DMeR-bkC13g,1
k5RSJb8VGwI,1
C4o-zcihGN4,0
GR0R9KfU4tY,1
mKdz5x4_jJU,1
zZaA_9hN1Lo,0
S2USu1oD_-Q,1
Fe3c7Txx0Sc,1
6FJfcqLCkIc,0
rQP1duR2tf4,1
q798YvcTBik,1
lIk-3o2CkM8,0
n1BXpNTsoB8,1
VhRkUhY8MlQ,1
vwuzNeawBm4,1
7DlW8IgIA3E,1
FlEMCYU5M48,1
eMOS-m8FH28,1
DIfRtRVMvMk,1
fCXWwJcplg0,0
EuSGUhhmYfk,1
b2mm79vRuzA,0
cHJd_bAK9C0,0
tjRYZON0o9w,1
DObuqvddHkk,1
-Rr7JJZvm6k,1
DVNR8by3jMU,1
1MUi4ZiJUsA,1
NfVhhdXvW4o,1
MOuSrB5BYJM,0
GGvLnf_7pHI,1
_syPeFclyN8,1
89hYiDNscBE,0
h5Qri9_giqQ,0
U2ZOhOknNc8,0
42ikB9YlkW4,0
QOCLLi8inz4,1
JC2TvxRIR4Y,1
cVA4BO2v7zs,1
-kFJKQvCrkY,1
uiy-sT9JgRo,1
AA_yIRZNg1s,0
fERCwTTOU3M,0
kXnEMLzzG_s,0
DA57Q2dbp9I,1
JDUbtFKcf2M,1
Ns4Sj8tVWP4,1
P5ooU8rf1f0,0
oDeQU3l-JSg,1
PUXHIqGfkXs,1
sQJHb0F2Tyg,1
M-xglYg-TTw,1
PaRrQhLYFSE,1
e9LJG1JcXDE,0
w1iNrckWufI,0
_wNYNDzKpuQ,1
LG3sWg6x0hw,1
7VuBVc11HXE,1
-QNxYSDdpig,1
Apwm3CGr_dU,1
jk7jWDbtmj8,1
Xm-UligdIrQ,1
tUDgNUjBris,1
xWShDNB5XZU,0
kqEj45pk6aE,0
gFmNKbF9KEU,1
5paBdZiLhqQ,0
-38cxZ5MoEs,1
pa-oUPTr9LI,1
SWQ4ylxYZUc,1
v4P4cS5jKmQ,1
7_uvEuNwUj4,1
0lq1JIWQSlc,1
k1vOq-yi2R4,1
Gor6z4YDPhU,1
dtMWnS0ySEY,1
YNgFqUzrNXk,1
PaYl9YVeXhc,0
zkfyxr3ZRTg,1
3byjPB2VTE4,1
d_jEVMQc0ig,1
o-g4Sx_eHYY,1
OjHAZWyckMc,0
BRccUGaFz2s,1
OqVyRa1iuMc,0
dDtFWw1mZuw,1
BCHi6DrWgjI,0
YzPiLIOgC44,1
HZCaSyid4m0,1
QTKNzDn8PzA,1
184hH4AknlM,0
u74DpEZeHbg,1
uqeGxkIdBiY,1
SpXCbeMvRoE,1
hbki4pbNi10,0
8w_naC0saGI,1
vtxPupFohQA,1
er2a5WhYU-4,1
6t7PQqQjYEs,1
YjwB9d1tpJE,1
3BSdoHadj2w,1
JubX9ybyjHs,1
QM8L-aK-c4M,1
rDI9ACrLvEk,1
buNwwAximcE,1
8fnhN_Jt1Q8,1
yMDjHL07e18,1
MGsGQAu3aNM,0
G36NDRDO6L8,0
GNTdNXkhZ8Y,1
sxWjygcEqRI,1
hFqDZ3vzyRw,0
HKDxpkV14IA,0
WrQdlQo-E5Q,1
QoYlqdBtRSw,1
cdtPJElK7wI,1
iUZ3Yxok6N8,1
DjTRf509X-Y,1
0AspXDFcGlw,1
p-zGZTYN9nQ,0
hr0hb0gc2eQ,0
VsdeqOdkdTY,1
eWjLy8S5uyk,0
PpD6HmPdadI,0
v5wBisDJJ5A,1
AwDCN_wZLyw,1
TGqcz-Xtd6E,0
XHDs1-xfuNk,1
lpwrDEfCESg,1
7ZTiTigBUQ8,1
VHMi-j7W2gM,1
1ESVngpn1aA,1
iJ-CgEEmZ3Q,1
aIm1ZGm03WA,1
NMOjCohQbXY,1
tM1HACwx1KY,1
zAlzw9a62TA,0
L45abB8vyEo,1
vjmZGaXDRHY,1
_th4Xe6Dsm4,1
x4ET14QsbDc,1
ppjyB2MpxBU,1
LjVPGOK8Cgc,1
E9v4TSOvOIc,1
0zHmeTeLgMY,1
O47od13_x1k,1
MaOG_xElhls,1
YY4kKO6wfyg,0
Pkt7OaGwNi4,1
lllLnc58CoI,1
cAwgV3PcwWI,1
My4ojpQzoWY,1
JiI91igl180,1
k7Zz2y_CVbk,1
PR9wl4Qve5E,1
pCHHv7ojfiw,1
5gkiHLA4ZuY,0
p3VeYSCfDSA,1
YnpV0k673Ug,0
cQ_dL_IMPP4,1
BoNAEfrI2oQ,1
NyS81GX7kfo,1
l4srSgqgncU,0
YS3LL_2i-fE,1
Isof3ww1UPs,1
4tTTXKxHcKY,0
UtS2awRAf5E,0
kUlXr-ZQ-NM,1
c6dmj-WpTW4,0
aVCOzbRPapo,1
hIvipx6drZw,0
RitnM9n0jTY,1
GEgAjAcOlAY,1
FH7PX0Q6RMk,1
rT7S4ycppHs,1
65XtOM1UUGw,1
8Qi3JERmk9E,1
OeSwSYmipqo,1
1D-v8EcGV2Q,1
vswksYP-lWY,1
6M6cpjP7GIo,1
N7R7GJxKVgU,1
I73sP93-0xA,1
Fjj4a3zB1ag,1
uuUEqTKn5Ho,1
e8qV88sbcV8,1
NARUgQRZhL8,1
RVbEs5DBPlY,1
K-xthcJWXn0,1
vnHkr84as-4,0
Okkcwma7ric,1
dNwHQsv3tgE,0
pE4-ePx_OAI,0
d_OcnTtlLGk,1
lRQVJlU7lDY,1
z0oSKrth_bg,1
j4ujHOSbQB0,1
HhZ3H18ynTA,1
Jina0muBqRA,1
qCq0IXXi_2U,1
X_7AsNN0qmc,1
S1Z27SeIIV8,0
M0N1Q7Eav4M,1
CGyrZsSzvt0,1
Fyd8tAhnKig,1
7w2iVXAHiPk,1
DurMO8Ayhn4,0
xTyEZA6ILOk,0
p29GuFPbzsg,1
Xb6svoM3UWE,1
dakDA3bY_6E,1
KlPjJx6pMNA,0
EF2WHYOjGhE,0
9iZFtT4aShI,1
U7McMInDG5o,1
4u-4PyidIeQ,1
FJX7JYjIbOg,1
